id,category,title_or_collection,author_or_editor,translator,first_published,era,origin,original_language,style_genre,tone,typical_length_estimate,source_type,standard_ebooks_repo_verified,other_sources_to_check,us_pd_basis,author_death_year,life_plus_70_status_2026,content_notes,blind_mode_fit,test_priority,why_it_fits
178,Translated,Household Tales,Brothers Grimm,Margaret Hunt (d.1912),1884,Victorian (1850–1889),Germany,German,Folk tales,"Stark, magical",Flash–short,Collection,https://github.com/standardebooks/jacob-grimm_wilhelm-grimm_household-tales_margaret-hunt,,Published before 1931 → US public domain,1863,Yes (author); check translator,,Low,B,200+ tales; short-day option
179,Translated,Fairy Tales,Hans Christian Andersen,Various (pre-1931),1835–1872,Romantic (1800–1849),Denmark,Danish,Literary fairy tales,Bittersweet,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1875,Yes (author); check translator,,Low,B,"""The Little Match Girl""; poetic"
180,Translated,Short fiction,Selma Lagerlöf,Various,1890s–1910s,Fin de siècle (1890–1914),Sweden,Swedish,"Legend, folk",Luminous,Medium,Collection,https://github.com/standardebooks/selma-lagerlof_short-fiction_various-translators,,Published before 1931 → US public domain,1940,Yes (author); check translator,,High,C,First woman Nobel in literature
181,Translated,Short fiction,Jonas Lie,Various,1880s–1890s,Victorian (1850–1889),Norway,Norwegian,Folk-supernatural,Brooding,Short,Collection,https://github.com/standardebooks/jonas-lie_short-fiction_various-translators,,Published before 1931 → US public domain,1908,Yes (author); check translator,,High,C,Norwegian trolls and sea
182,Translated,Short fiction,Hjalmar Söderberg,Various,1890s–1900s,Fin de siècle (1890–1914),Sweden,Swedish,Urban melancholy,Wistful,Flash–short,Collection,https://github.com/standardebooks/hjalmar-soderberg_short-fiction_various-translators,,Published before 1931 → US public domain,1941,Yes (author); check translator,,High,C,Tiny Stockholm vignettes
183,Translated,The Decameron,Giovanni Boccaccio,John Payne (d.1916),1353,Pre-1800,Italy,Italian,Frame tales,"Bawdy, witty",Short,Frame collection,https://github.com/standardebooks/giovanni-boccaccio_the-decameron_john-payne,,Published before 1931 → US public domain,1375,Yes (author); check translator,Sexual content,Med,C,100 tales in a built-in daily structure
184,Translated,Little Novels of Sicily / Cavalleria Rusticana,Giovanni Verga,D.H. Lawrence (d.1930),1925 / 1928,Interwar (1915–1930),Italy,Italian,Verismo,"Harsh, earthy",Short,Collections,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1922,Yes (author); check translator,,High,C,Translated by D.H. Lawrence — fun reveal
185,Translated,"Short fiction (Rashomon, In a Grove…)",Akutagawa Ryūnosuke,Various,1915–1927,Interwar (1915–1930),Japan,Japanese,Modernist tales,Enigmatic,Short,Collection,https://github.com/standardebooks/akutagawa-ryunosuke_short-fiction_various-translators,,Published before 1931 → US public domain,1927,Yes (author); check translator,,Med,A,"""In a Grove"" — the reader has to decide what happened"
186,Translated,Short fiction,Tanizaki Jun'ichirō,Various,1910s–1920s,Fin de siècle (1890–1914),Japan,Japanese,"Aesthetic, perverse",Sensual,Medium,Collection,https://github.com/standardebooks/tanizaki-junichiro_short-fiction_various-translators,,Published before 1931 → US public domain,1965,No — clears Jan 1 2036,Erotic themes,High,C,Standard Ebooks-cleared subset
187,Translated,Kwaidan,Lafcadio Hearn,,1904,Fin de siècle (1890–1914),Japan/Ireland/Greece,English (retold Japanese),Japanese ghost tales,"Hushed, eerie",Flash–short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1904,Yes,,Med,A,"Short, poetic, eerie — very on-brand"
188,Translated,Strange Stories from a Chinese Studio,Pu Songling,Herbert A. Giles (d.1935),1880,Victorian (1850–1889),China,Classical Chinese,Supernatural tales,Mysterious,Flash–short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1715,Yes (author); check translator,Victorian translation; some bowdlerized,High,B,"Foxes, ghosts, scholars — short and strange"
189,Translated,The Hungry Stones and Other Stories,Rabindranath Tagore,Various (verify),1916,Interwar (1915–1930),India (Bengal),Bengali,Lyrical realism,Poetic,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1941,Yes (author); check translator,,High,B,"Poet's stories; ""The Postmaster"""
190,Translated,Hindu Tales from the Sanskrit,S.M. Mitra,,1919,Interwar (1915–1930),India,Sanskrit,Retold tales,"Moral, mythic",Short,Collection,https://github.com/standardebooks/s-m-mitra_hindu-tales-from-the-sanskrit,,Published before 1931 → US public domain,,Check,,High,C,Short mythic tales
191,Translated,The Panchatantra,Arthur W. Ryder (trans.),,1925,Interwar (1915–1930),India,Sanskrit,Frame fables,"Wise, witty",Flash,Frame collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1938,Yes,,High,C,A 1925 translation praised for its wit
192,Translated,Brazilian Tales,Machado de Assis et al.,Isaac Goldberg (d.1938),1921,Interwar (1915–1930),Brazil,Portuguese,Ironic realism,Sly,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1908,Yes (author); check translator,,High,B,Machado is a hidden giant
193,Translated,South American Jungle Tales,Horacio Quiroga,Arthur Livingston (d.1944),1922,Interwar (1915–1930),Uruguay/Argentina,Spanish,Animal fables,Adventurous,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1937,Yes (author); check translator,,High,C,Jungle fables by Latin America's Poe
194,Translated,Jewish Children,Sholem Aleichem,Hannah Berman,1920,Interwar (1915–1930),Eastern Europe,Yiddish,Comic-tender,Warm,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1916,Yes (author); check translator,,High,C,Childhood stories
195,Translated,Stories and Pictures,I.L. Peretz,Helena Frank (d.1954),1906,Fin de siècle (1890–1914),Poland,Yiddish,"Hasidic tales, sketches",Mystical,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1915,Yes (author); check translator,,High,C,"""Bontshe the Silent"""
196,Translated,The Madman / The Forerunner,Kahlil Gibran,,1918 / 1920,Interwar (1915–1930),Lebanon/USA,English,Parables,Mystical,Flash,Collections,https://github.com/standardebooks/kahlil-gibran_the-madman | https://github.com/standardebooks/kahlil-gibran_the-forerunner,,Published before 1931 → US public domain,1931,Yes,,Med,B,Parable-length; poetry bridge
197,Translated,Poems in Prose (Senilia),Ivan Turgenev,Constance Garnett (d.1946),1883,Victorian (1850–1889),Russia,Russian,Prose poems,Elegiac,Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1883,Yes (author); check translator,,High,C,Micro-pieces for a light day
198,Translated,Paris Spleen (Poems in Prose),Charles Baudelaire,Arthur Symons (d.1945),1905,Fin de siècle (1890–1914),France,French,Prose poems,"Urban, bitter",Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1867,Yes (author); check translator,,High,C,The origin of the prose poem
199,Folklore & myth,"The Colored Fairy Books (Blue through Lilac, 12 vols)",Andrew Lang (ed.),Mostly Leonora Lang et al.,1889–1910,Victorian (1850–1889),Global,Various (translated/retold),Fairy tales,Magical,Short–medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1912,Yes (author); check translator,Some colonial framing,High,A,~400+ tales already curated; tale-type graph for free
200,Folklore & myth,English / Celtic / More Celtic Fairy Tales,Joseph Jacobs (ed.),,1890–1894,Fin de siècle (1890–1914),UK/Ireland,English,Folk tales,Earthy,Short,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1916,Yes,,High,B,Lively retellings with source notes
201,Folklore & myth,Indian Fairy Tales,Joseph Jacobs (ed.),,1892,Fin de siècle (1890–1914),India,Various (retold),Folk tales,Playful,Short,Collection,https://github.com/standardebooks/joseph-jacobs_indian-fairy-tales,,Published before 1931 → US public domain,1916,Yes,,High,C,Clean Standard Ebooks text
202,Folklore & myth,Fairy and Folk Tales of the Irish Peasantry,W.B. Yeats (ed.),,1888,Victorian (1850–1889),Ireland,English,Folk tales,Uncanny,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1939,Yes,,High,B,A poet's curation of folklore
203,Folklore & myth,Popular Tales from the Norse,Asbjørnsen & Moe,George Webbe Dasent (d.1896),1859,Victorian (1850–1889),Norway,Norwegian,Folk tales,Rugged,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1885,Yes (author); check translator,,High,C,"""East of the Sun"""
204,Folklore & myth,The Mabinogion,Anonymous (Welsh),Lady Charlotte Guest (d.1895),1849,Romantic (1800–1849),Wales,Middle Welsh,Medieval myth,Mythic,Medium–long,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Yes,,High,C,Arthurian roots
205,Folklore & myth,The Arabian Nights (various editions),Anonymous,E.W. Lane / Andrew Lang / others,1840,Romantic (1800–1849),Middle East,Arabic,Frame tales,Marvelous,Short–long,Frame collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Yes,Burton edition is explicit — choose carefully,Low,B,"The ultimate ""one more story tomorrow"" frame"
206,Folklore & myth,Gesta Romanorum,Anonymous (medieval Latin),Charles Swan,1824,Romantic (1800–1849),Europe,Latin,Moral tales,"Strange, didactic",Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Yes,,High,C,Medieval micro-tales
207,Folklore & myth,Jataka Tales,Anonymous (Pali),E.B. Cowell et al.,1895–1907,Fin de siècle (1890–1914),India,Pali,Buddhist birth tales,"Gentle, moral",Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Yes,,High,C,547 tales; big pool
208,Folklore & myth,Japanese Fairy Tales,Yei Theodora Ozaki,,1908,Fin de siècle (1890–1914),Japan,Japanese (retold),Folk tales,Gentle,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1932,Yes,,High,C,"Momotaro, Urashima"
209,Folklore & myth,Italian Popular Tales,Thomas Frederick Crane,,1885,Victorian (1850–1889),Italy,Italian (retold),Folk tales,Lively,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1927,Yes,,High,C,Scholarly but readable
210,Folklore & myth,Philippine Folk Tales,Mabel Cook Cole,,1916,Interwar (1915–1930),Philippines,Various (retold),Folk tales,Mythic,Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1977,No — clears Jan 1 2048,Colonial-era collector framing,High,C,Rarely seen tradition
211,Folklore & myth,Myths and Legends of the Sioux,Marie L. McLaughlin,,1916,Interwar (1915–1930),USA (Lakota/Dakota),Various (retold),Legends,Mythic,Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1954,Yes,,High,C,Collected by a woman of Dakota descent
212,Folklore & myth,Jewish Fairy Tales and Legends,Gertrude Landa,,1919,Interwar (1915–1930),Global,Various (retold),Legends,Wise,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1941,Yes,,High,C,Talmudic and folk legends
213,Folklore & myth,Folk Stories from Southern Nigeria,Elphinstone Dayrell,,1910,Fin de siècle (1890–1914),Nigeria,Various (retold),Folk tales,Trickster,Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1917,Yes,Colonial collector framing,High,C,West African tales
214,Nature & animal,Wild Animals I Have Known,Ernest Thompson Seton,,1898,Fin de siècle (1890–1914),Canada/USA,English,Animal biography,"Tragic, vivid",Medium,Collection,https://github.com/standardebooks/ernest-thompson-seton_wild-animals-i-have-known,,Published before 1931 → US public domain,1946,Yes,,High,B,"""Lobo"" — true-ish stories of individual animals"
215,Nature & animal,The Kindred of the Wild,Charles G.D. Roberts,,1902,Fin de siècle (1890–1914),Canada,English,Realistic animal stories,Stark,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1943,Yes,,High,C,Nature from the animal's eyes
216,Nature & animal,Green Meadow / Green Forest stories,Thornton W. Burgess,,1910s–1920s,Fin de siècle (1890–1914),USA,English,Children's nature,Cheerful,Short,Collections,https://github.com/standardebooks/thornton-w-burgess_green-meadow-stories | https://github.com/standardebooks/thornton-w-burgess_green-forest-stories,,Published before 1931 → US public domain,1965,No — clears Jan 1 2036,,Low,C,Palate cleanser; kids
217,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Philip K. Dick,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/philip-k-dick_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1982,No — clears Jan 1 2053,,Med,A,"Paranoid idea-stories; ""Second Variety"""
218,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Isaac Asimov,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/isaac-asimov_short-science-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1992,No — clears Jan 1 2063,,Med,B,Puzzle-shaped SF
219,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Ray Bradbury,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/ray-bradbury_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2012,No — clears Jan 1 2083,,Med,A,The most poetic SF writer — cleared subset
220,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Robert Sheckley,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/robert-sheckley_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2005,No — clears Jan 1 2076,,Med,A,"Satirical, funny, perfect length"
221,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Fritz Leiber,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/fritz-leiber_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1992,No — clears Jan 1 2063,,Med,B,Urban weird and SF
222,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),H. Beam Piper,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/h-beam-piper_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1964,No — clears Jan 1 2035,,Med,B,Classic Galaxy-era ideas
223,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Poul Anderson,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/poul-anderson_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2001,No — clears Jan 1 2072,,Med,C,Adventure SF
224,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),R.A. Lafferty,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/r-a-lafferty_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2002,No — clears Jan 1 2073,,Med,B,Tall-tale weirdness — great blind-mode outlier
225,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Frederik Pohl,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/frederik-pohl_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2013,No — clears Jan 1 2084,,Med,C,Social satire SF
226,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Clifford D. Simak,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/clifford-d-simak_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1988,No — clears Jan 1 2059,,Med,B,"Pastoral, gentle SF"
227,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Cordwainer Smith,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/cordwainer-smith_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1966,No — clears Jan 1 2037,,Med,B,Mythic far-future
228,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Andre Norton,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/andre-norton_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2005,No — clears Jan 1 2076,,Med,C,Adventure SF
229,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Harry Harrison,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/harry-harrison_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2012,No — clears Jan 1 2083,,Med,C,Wry SF
230,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Algis Budrys,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/algis-budrys_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,2008,No — clears Jan 1 2079,,Med,C,Thoughtful SF
231,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Walter M. Miller Jr.,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/walter-m-miller-jr_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1996,No — clears Jan 1 2067,,Med,C,"Humane, serious SF"
232,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Henry Kuttner,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/henry-kuttner_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1958,No — clears Jan 1 2029,,Med,B,"Clever, comic SF"
233,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Stanley G. Weinbaum,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/stanley-g-weinbaum_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1935,Yes,,Med,B,"""A Martian Odyssey"""
234,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Charles Beaumont,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/charles-beaumont_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1967,No — clears Jan 1 2038,,Med,B,Twilight Zone-style twists
235,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Mack Reynolds,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/mack-reynolds_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1983,No — clears Jan 1 2054,,Med,C,Pulp social SF
236,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Manly Wade Wellman,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/manly-wade-wellman_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1986,No — clears Jan 1 2057,,Med,C,Appalachian weird
237,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Frank Belknap Long,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/frank-belknap-long_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1994,No — clears Jan 1 2065,,Med,C,Weird/SF
238,Mid-century SF & fantasy (lapsed copyright),Short fiction (Standard Ebooks-cleared),Noel Loomis,,1930s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Science fiction / fantasy,Idea-driven,Short–medium,Collection,https://github.com/standardebooks/noel-loomis_short-science-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1969,No — clears Jan 1 2040,,Med,C,Obscure pulp SF
